S. no.,Name of City,State,Type,Population (2011),Population class
1,Mumbai,Maharashtra,Municipal Corporation / Corporation,13597924.0,Class I
2,Delhi,Delhi,Municipal Corporation / Corporation,11007835.0,Class I
3,Bengaluru,Karnataka,Municipal Corporation / Corporation,8425970.0,Class I
4,Ahmedabad,Gujarat,Municipal Corporation / Corporation.,7208200.0,Class I
5,Hyderabad,Telangana,Municipal Corporation / Corporation,6809970.0,Class I
6,Chennai,Tamil Nadu,Municipal Corporation / Corporation.,4681087.0,Class I
7,Kolkata,West Bengal,Municipal Corporation / Corporation,4486679.0,Class I
8,Pune,Maharashtra,Urban Agglomeration,3760636.0,
9,Jaipur,Rajasthan,Municipal Corporation / Corporation,3073350.0,Class I
10,Surat,Gujarat,Municipal Corporation / Corporation.,2876374.0,
11,Lucknow,Uttar Pradesh,Municipal Corporation / Corporation,2815601.0,Class I
12,Kanpur,Uttar Pradesh,Municipal Corporation / Corporation,2767031.0,Class I
13,Nagpur,Maharashtra,Municipal Corporation / Corporation,2405421.0,Class I
14,Patna,Bihar,Municipal Corporation / Corporation.,2231554.0,
15,Indore,Madhya Pradesh,Municipal Corporation / Corporation.,1960631.0,Class I
16,Thane,Maharashtra,Municipal Corporation / Corporation.,1818872.0,Class I
17,Bhopal,Madhya Pradesh,Municipal Corporation / Corporation.,1795648.0,Class I
18,Visakhapatnam,Andhra Pradesh,Municipal Committee.,1730320.0,Class I
19,Vadodara,Gujarat,Municipal Committee.,1666703.0,Class I
20,Firozabad,Uttar Pradesh,Census town.,1645675.0,Class I
21,Ludhiana,Punjab,Municipal Corporation / Corporation.,1613878.0,Class I
22,Rajkot,Gujarat,Urban Agglomeration,1606745.0,
23,Agra,Uttar Pradesh,Municipal Corporation / Corporation.,1574542.0,Class I
24,Siliguri,West Bengal,Municipal Corporation / Corporation.,1572000.0,
25,Nashik,Maharashtra,Municipal Corporation / Corporation,1486973.0,Class I
26,Faridabad,Haryana,Municipal Corporation / Corporation.,1404653.0,Class I
27,Patiala,Punjab,Municipal Corporation / Corporation.,1354686.0,
28,Meerut,Uttar Pradesh,Municipal Corporation / Corporation,1309023.0,Class I
29,Kalyan-Dombivali,Maharashtra,Municipal Corporation / Corporation.,1246381.0,Class I
30,Vasai-Virar,Maharashtra,Municipal Corporation / Corporation.,1221233.0,Class I
31,Varanasi,Uttar Pradesh,Municipal Corporation / Corporation.,1201815.0,Class I
32,Srinagar,Jammu and Kashmir,Urban Agglomeration,1192792.0,
33,Dhanbad,Jharkhand,Municipal Corporation / Corporation,1161561.0,Class I
34,Jodhpur,Rajasthan,Municipal Corporation / Corporation,1137000.0,Class I
35,Amritsar,Punjab,Municipal Corporation / Corporation.,1132761.0,Class I
36,Raipur,Chhattisgarh,Municipal Committee,1122555.0,
37,Allahabad,Uttar Pradesh,Municipality.,1117094.0,Class I
38,Coimbatore,Tamil Nadu,Municipal Corporation / Corporation,1061447.0,Class I
39,Jabalpur,Madhya Pradesh,Municipal Corporation / Corporation,1054336.0,Class I
40,Gwalior,Madhya Pradesh,Municipal Corporation / Corporation,1053505.0,Class I
41,Vijayawada,Andhra Pradesh,Municipal Corporation / Corporation.,1048240.0,Class I
42,Madurai,Tamil Nadu,Municipal Corporation / Corporation,1016885.0,Class I
43,Guwahati,Assam,Municipal Corporation / Corporation,963429.0,Class I
44,Chandigarh,Chandigarh,Municipal Corporation / Corporation.,960787.0,Class I
45,Hubli-Dharwad,Karnataka,Municipal Corporation / Corporation,943857.0,Class I
46,Amroha,Uttar Pradesh,Nagar Panchayat.,897135.0,Class I
47,Moradabad,Uttar Pradesh,Municipal Corporation / Corporation,889810.0,Class I
48,Gurgaon,Haryana,Municipal Corporation / Corporation.,876824.0,Class I
49,Aligarh,Uttar Pradesh,Municipalityunicipal Corporation / Corporation.,872575.0,Class I
50,Solapur,Maharashtra,Municipal Corporation / Corporation.,872478.0,
51,Ranchi,Jharkhand,Urban Agglomeration,863495.0,
52,Jalandhar,Punjab,Municipal Corporation / Corporation,862196.0,Class I
53,Tiruchirappalli,Tamil Nadu,Municipal Corporation / Corporation.,846915.0,Class I
54,Bhubaneswar,Odisha,Municipal Corporation / Corporation,837737.0,Class I
55,Salem,Tamil Nadu,Municipal Corporation / Corporation,831038.0,Class I
56,Warangal,Telangana,Municipal Corporation / Corporation.,819429.0,Class I
57,Mira-Bhayandar,Maharashtra,Municipal Corporation / Corporation,814655.0,Class I
58,Thiruvananthapuram,Kerala,Municipal Corporation / Corporation.,752490.0,Class I
59,Bhiwandi,Maharashtra,Municipal Corporation / Corporation.,711329.0,Class I
60,Saharanpur,Uttar Pradesh,Municipal Corporation / Corporation,703345.0,Class I
61,Guntur,Andhra Pradesh,Municipal Corporation / Corporation,651382.0,Class I
62,Amravati,Maharashtra,Municipal Corporation / Corporation,646801.0,Class I
63,Bikaner,Rajasthan,Municipal Corporation / Corporation.,644406.0,Class I
64,Noida,Uttar Pradesh,Census town,642381.0,Class I
65,Jamshedpur,Jharkhand,Notified area committee / Notified Area Council ,629659.0,Class I
66,Bhilai Nagar,Chhattisgarh,Municipal Corporation / Corporation,625697.0,Class I
67,Cuttack,Odisha,Municipal Corporation / Corporation,606007.0,Class I
68,Kochi,Kerala,Municipal Corporation / Corporation,601574.0,Class I
69,Udaipur,Rajasthan,Municipal Corporation / Corporation,598483.0,Class I
70,Bhavnagar,Gujarat,Municipal Corporation / Corporation,593768.0,Class I
71,Dehradun,Uttarakhand,Municipal Corporation / Corporation,578420.0,Class I
72,Asansol,West Bengal,Municipal Corporation / Corporation.,564491.0,Class I
73,Nanded-Waghala,Maharashtra,Municipal Corporation / Corporation.,550564.0,Class I
74,Ajmer,Rajasthan,Municipal Corporation / Corporation.,542580.0,Class I
75,Jamnagar,Gujarat,Municipal Corporation / Corporation,529308.0,Class I
76,Ujjain,Madhya Pradesh,Municipal Corporation / Corporation.,515215.0,Class I
77,Sangli,Maharashtra,Urban Agglomeration,513862.0,
78,Loni,Uttar Pradesh,Nagar Panchayat,512296.0,Class I
79,Jhansi,Uttar Pradesh,Municipal Corporation / Corporation.,507293.0,Class I
80,Pondicherry,Puducherry,Urban Agglomeration,505959.0,
81,Nellore,Andhra Pradesh,Municipal Corporation / Corporation,505258.0,Class I
82,Jammu,Jammu and Kashmir,Municipal Committee,503690.0,Class I
83,Belagavi,Karnataka,Municipal Corporation / Corporation.,488292.0,Class I
84,,,,,
85,Mangaluru,Karnataka,Municipal Corporation / Corporation,484785.0,Class I
86,Tirunelveli,Tamil Nadu,Municipal Corporation / Corporation.,474838.0,Class I
87,Malegaon,Maharashtra,Municipal Corporation / Corporation,471006.0,Class I
88,Gaya,Bihar,Municipal Corporation / Corporation.,463454.0,Class I
89,Tiruppur,Tamil Nadu,Municipal Corporation / Corporation,444543.0,Class I
90,Davanagere,Karnataka,Municipal Corporation / Corporation.,435128.0,Class I
91,Kozhikode,Kerala,Municipal Corporation / Corporation,432097.0,Class I
92,Akola,Maharashtra,Municipal Corporation / Corporation.,427146.0,Class I
93,Kurnool,Andhra Pradesh,Municipal Corporation / Corporation,424920.0,Class I
94,Bokaro Steel City,Jharkhand,Census town,413934.0,Class I
95,,,,,
96,Ballari,Karnataka,Municipal Corporation / Corporation.,409644.0,Class I
97,Agartala,Tripura,Municipal Corporation / Corporation.,399688.0,Class I
98,Bhagalpur,Bihar,Municipal Corporation / Corporation.,398138.0,Class I
99,Latur,Maharashtra,Municipal Council,382754.0,Class I
100,Dhule,Maharashtra,Municipal Corporation / Corporation,376093.0,Class I
101,Korba,Chhattisgarh,Municipal Corporation / Corporation.,363210.0,Class I
102,Bhilwara,Rajasthan,Municipality,360009.0,Class I
103,Brahmapur,Odisha,Municipal Corporation / Corporation,355823.0,Class I
104,Mysore,Karnatka,Municipal Corporation / Corporation.,351838.0,Class I
105,Muzaffarpur,Bihar,Municipal Corporation / Corporation.,351838.0,Class I
106,Ahmednagar,Maharashtra,Municipal Corporation / Corporation.,350905.0,Class I
107,Kollam,Kerala,Municipal Corporation / Corporation,349033.0,Class I
108,,,,,
109,Bilaspur,Chhattisgarh,Municipal Corporation / Corporation,330106.0,Class I
110,,,,,
111,Thrissur,Kerala,Municipal Corporation / Corporation.,315596.0,Class I
112,Alwar,Rajasthan,Municipal Council,315310.0,Class I
113,Kakinada,Andhra Pradesh,Municipal Corporation / Corporation,312255.0,Class I
114,Nizamabad,Telangana,Municipal Corporation / Corporation,310467.0,Class I
115,,,,,
116,Tumkur,Karnataka,City Municipal Council,305821.0,Class I
117,Hisar,Haryana,Municipal Council,301249.0,Class I
118,,,,,
119,Panipat,Haryana,Municipal Council,294150.0,Class I
120,Darbhanga,Bihar,Municipal Corporation / Corporation.,294116.0,Class I
121,Kharagpur,West Bengal,Municipality/Industrial Township,293719.0,Class I
122,Aizawl,Mizoram,Notified Town,291822.0,Class I
123,Ichalkaranji,Maharashtra,Municipal Council,287570.0,Class I
124,Tirupati,Andhra Pradesh,Municipal Corporation / Corporation.,287035.0,Class I
125,Karnal,Haryana,Municipal Council,286974.0,Class I
126,Bathinda,Punjab,Municipal Corporation / Corporation,285813.0,Class I
127,Rampur,Uttar Pradesh,Municipal board,281494.0,
128,Shivamogga,Karnataka,City Municipal Council,274352.0,
129,Ratlam,Madhya Pradesh,Urban Agglomeration,273892.0,
130,Modinagar,Uttar Pradesh,Municipality,272918.0,
131,Durg,Chhattisgarh,Municipal Corporation / Corporation,268679.0,Class I
132,Shillong,Meghalaya,Urban Agglomeration,267662.0,
133,Imphal,Manipur,Municipal Council,264986.0,Class I
134,Hapur,Uttar Pradesh,Nagar Palika Parishad,262801.0,Class I
135,Ranipet,Tamil Nadu,Urban Agglomeration,262346.0,
136,Anantapur,Andhra Pradesh,Municipal Corporation / Corporation.,262340.0,Class I
137,Arrah,Bihar,Municipal Corporation / Corporation.,261099.0,Class I
138,Karimnagar,Telangana,Municipal Corporation / Corporation,260899.0,Class I
139,Parbhani,Maharashtra,Municipal Council,259329.0,
140,Etawah,Uttar Pradesh,Nagar Palika Parishad,256790.0,Class I
141,Bharatpur,Rajasthan,Municipal Corporation / Corporation.,252109.0,Class I
142,Begusarai,Bihar,Municipal Corporation / Corporation.,251136.0,Class I
143,New Delhi,Delhi,Municipal Council,249998.0,Class I
144,Chhapra,Bihar,Municipal Corporation / Corporation,249555.0,Class I
145,Kadapa,Andhra Pradesh,Municipal Corporation / Corporation,241823.0,Class I
146,Ramagundam,Telangana,Municipal Corporation / Corporation,237686.0,
147,Pali,Rajasthan,Municipal Council,229956.0,Class I
148,Satna,Madhya Pradesh,Urban Agglomeration,229307.0,
149,Vizianagaram,Andhra Pradesh,Municipality,228025.0,Class I
150,Katihar,Bihar,Municipal Corporation / Corporation,225982.0,Class I
151,Hardwar,Uttarakhand,Nagar Palika Parishad,225235.0,Class I
152,Sonipat,Haryana,Urban Agglomeration,225074.0,
153,Nagercoil,Tamil Nadu,Municipality,224329.0,Class I
154,Thanjavur,Tamil Nadu,Municipality,222619.0,Class I
155,Murwara (Katni),Madhya Pradesh,Municipal Corporation / Corporation,221875.0,Class I
156,Naihati,West Bengal,Municipality,221762.0,Class I
157,Sambhal,Uttar Pradesh,Nagar Palika Parishad,221334.0,Class I
158,Nadiad,Gujarat,Municipality,218150.0,Class I
159,Yamunanagar,Haryana,Municipal Council,216628.0,Class I
160,English Bazar,West Bengal,Municipality,216083.0,Class I
161,Eluru,Andhra Pradesh,Municipal Corporation / Corporation.,214414.0,Class I
162,Munger,Bihar,Municipal Corporation / Corporation,213101.0,Class I
163,Panchkula,Haryana,Municipal Council,210175.0,Class I
164,Raayachuru,Karnataka,City Municipal Council,207421.0,
165,Panvel,Maharashtra,Municipal Council,204336.0,
166,Deoghar,Jharkhand,Municipal Corporation / Corporation,203116.0,Class I
167,Ongole,Andhra Pradesh,Municipality,202826.0,Class I
168,Nandyal,Andhra Pradesh,Municipality,200746.0,Class I
169,Morena,Madhya Pradesh,Municipality,200506.0,Class I
170,Bhiwani,Haryana,Municipal Council,197662.0,Class I
171,Porbandar,Gujarat,Urban Agglomeration,197382.0,
172,Palakkad,Kerala,Urban Agglomeration,197369.0,
173,Anand,Gujarat,Municipality,197351.0,Class I
174,Purnia,Bihar,Municipal Corporation / Corporation.,197211.0,
175,Baharampur,West Bengal,Municipality,195363.0,Class I
176,Barmer,Rajasthan,Nagar Parishad,189715.0,Class I
177,Morvi,Gujarat,Municipality,188278.0,Class I
178,Orai,Uttar Pradesh,Nagar Palika Parishad.,187185.0,Class I
179,Bahraich,Uttar Pradesh,Nagar Palika Parishad,186241.0,Class I
180,Sikar,Rajasthan,Urban Agglomeration,185925.0,
181,Vellore,Tamil Nadu,Municipal Corporation / Corporation.,185895.0,Class I
182,Singrauli,Madhya Pradesh,Municipal Corporation / Corporation.,185190.0,
183,Khammam,Telangana,Municipal Corporation / Corporation,184252.0,Class I
184,Mahesana,Gujarat,Municipality,184133.0,Class I
185,Silchar,Assam,Urban Agglomeration,184105.0,
186,Sambalpur,Odisha,Municipal Corporation / Corporation.,183383.0,Class I
